MRP,processor,RAM,os,RAM TYPE,Brand,ROM_SIZE,ROM_TYPE
73490,AMD Ryzen 7 Octa Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
63490,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,"1 TB,256 GB","HDD,SSD"
36990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,256 GB,SSD
39990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
38990,AMD Ryzen 5 Quad Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
67990,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,HP,512 GB,SSD
39990,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,RedmiBook,512 GB,SSD
39790,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,HP,512 GB,SSD
104990,M1 Processor,8 GB,Mac OS Operating System,DDR4 RAM,APPLE,512 GB,SSD
42190,AMD Ryzen 3 Dual Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,DELL,512 GB,SSD
38705,AMD Ryzen 5 Quad Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
85990,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11 Operating System,DDR4 RAM,ASUS,1 TB,SSD
39990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
99990,Intel Core i7 Processor,16 GB,Windows 11 Operating System,DDR5 RAM,ASUS,1 TB,SSD
35590,AMD Ryzen 3 Dual Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
64990,Intel Core i5 Processor,16 GB,Windows 11 Operating System,DDR4 RAM,ASUS,"1 TB,256 GB","HDD,SSD"
89990,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
